KO	name;definition	module
K14578	naphthalene 1,2-dioxygenase ferredoxin component;	M00534  Naphthalene degradation, naphthalene 
K14578	naphthalene 1,2-dioxygenase ferredoxin component;	M00638  Salicylate degradation, salicylate 
